,codigo,punto_obs,propietario,id_estacion,captor,categoria,latitud,longitud,altitud
0,H5006,AGLLA-CHECA,FONAG,63953,ELECTROMECANICA,HIDROLOGICA,-0.165833,-78.199167,3765.00
1,H5009,PITA,FONAG,63795,ELECTROMECANICA,HIDROLOGICA,-0.641358,-78.364322,3934.00
2,H5010,JATUNHUAYCO,FONAG,63810,ELECTROMECANICA,HIDROLOGICA,-0.529000,-78.247083,3943.00
3,H5025,PITA DJ HUALPALOMA,FONAG,64036,ELECTROMECANICA,HIDROLOGICA,3870000000.000000,-78383500.000000,62.00
4,H5026,CARIHUAYCO EN PALUGUILLO,FONAG,63987,ELECTROMECANICA,HIDROLOGICA,3839000000.000000,-78221300.000000,34.00
5,H5027,YARACYACU  ANTES CAPTACION,FONAG,63988,ELECTROMECANICA,HIDROLOGICA,4088000000.000000,-78583800.000000,19.00
6,H5028,TAYANGO ANTES CAPTACION,FONAG,63989,ELECTROMECANICA,HIDROLOGICA,3824000000.000000,-78590500.000000,20.00
7,M1253,PUERTO HONDO,FONAG,63802,ELECTROMECANICA,METEOROLOGICA,-2.192500,-80.024167,4.00
8,M5021,SALVEFACHA-OYACACHI,FONAG,63937,ELECTROMECANICA,METEOROLOGICA,-0.188333,-78.110556,3710.00
9,M5022,CONTROL BANIOS (PAPALLACTA),FONAG,63938,ELECTROMECANICA,METEOROLOGICA,-0.322222,-78.147778,3620.00
10,M5023,PAPALLACTA,FONAG,63939,ELECTROMECANICA,METEOROLOGICA,-0.378056,-78.141111,3100.00
11,M5024,EL TAMBO (PAPALLACTA),FONAG,63940,ELECTROMECANICA,METEOROLOGICA,-0.379444,-78.195833,3637.00
12,M5025,LA VIRGEN-PAPALLACTA,FONAG,63941,ELECTROMECANICA,METEOROLOGICA,-0.333611,-78.198333,3920.00
13,M5026,COTOPAXI-CONTROL NORTE (MACHACHI),FONAG,63942,ELECTROMECANICA,METEOROLOGICA,-0.563611,-78.443333,3670.00
14,M5027,SAN MARCOS-ILINIZAS (EL CHAUPI),FONAG,63943,ELECTROMECANICA,METEOROLOGICA,-0.575833,-78.661111,3727.00
15,M5028,MIRANDA (PINTAG),FONAG,63944,ELECTROMECANICA,METEOROLOGICA,-0.483056,-78.390556,3526.00
16,M5029,EL CARMEN (PINTAG),FONAG,63945,ELECTROMECANICA,METEOROLOGICA,-0.501667,-78.333333,4100.00
17,M5030,GORDILLO (PINTAG),FONAG,63946,ELECTROMECANICA,METEOROLOGICA,-0.418333,-78.357222,3248.00
18,M5031,CHUMILLOS (CANGAHUA),FONAG,63947,ELECTROMECANICA,METEOROLOGICA,-0.094722,-78.210556,3750.00
19,M5074,PUNTAS (CHECA),FONAG,63948,ELECTROMECANICA,METEOROLOGICA,-0.165000,-78.220556,4142.00
20,M5075,ITULCACHI (PIFO),FONAG,63949,ELECTROMECANICA,METEOROLOGICA,-0.290278,-78.263889,4029.00
21,M5076,MUDADERO (MACHACHI),FONAG,63950,ELECTROMECANICA,METEOROLOGICA,-0.616833,-78.402222,3866.00
22,M5077,REI (EL CHAUPI),FONAG,63951,ELECTROMECANICA,METEOROLOGICA,-0.629444,-78.689444,3983.00
23,M5078,PIFO -FONAG,FONAG,63952,ELECTROMECANICA,METEOROLOGICA,-0.240833,-78.316944,2857.00
24,M5124,CAMPO ALEGRE,FONAG,63821,ELECTROMECANICA,METEOROLOGICA,-0.616111,-78.388639,3861.00
25,M5126,JATUNHUAYCO,FONAG,63812,ELECTROMECANICA,METEOROLOGICA,-0.490972,-78.232861,4052.00
26,M5131,CAMARONERA-SONGA,FONAG,63803,ELECTROMECANICA,METEOROLOGICA,-2.287008,-79.858189,3.00
27,M5132,COE-MONTE BELLO,FONAG,63806,ELECTROMECANICA,METEOROLOGICA,-2.089128,-79.940453,9.00
28,M5134,MINISTERIO DE SALUD MACHALA-SNEM,FONAG,63804,ELECTROMECANICA,METEOROLOGICA,-3.259303,-79.954136,3.00
29,M5135,HOSPITAL PUBLICO-HUAQUILLAS,FONAG,63807,ELECTROMECANICA,METEOROLOGICA,-3.482050,-80.227500,14.00
30,M5136,COLEGIO 13 DE MAYO-PORTOVELO,FONAG,63805,ELECTROMECANICA,METEOROLOGICA,-3.720014,-79.619097,983.00
31,M5137,EXTENSION UNIVERSIDAD DE LOJA-ZARUMA,FONAG,63808,ELECTROMECANICA,METEOROLOGICA,-3.681169,-79.625381,1475.00
32,M5178,...,FONAG,64422,ELECTROMECANICA,METEOROLOGICA,0.000000,0.000000,0.00
33,M5179,...,FONAG,64423,ELECTROMECANICA,METEOROLOGICA,0.000000,0.000000,0.00
34,M5181,...,FONAG,64424,ELECTROMECANICA,METEOROLOGICA,0.000000,0.000000,0.00
35,M5182,...,FONAG,64425,ELECTROMECANICA,METEOROLOGICA,0.000000,0.000000,0.00
36,M5184,...,FONAG,64426,ELECTROMECANICA,METEOROLOGICA,0.000000,0.000000,0.00
