station_id,status,proprietary
64036,ERROR,FONAG
64422,SOME DATA MISSING,FONAG
64423,SOME DATA MISSING,FONAG
64424,SOME DATA MISSING,FONAG
64425,ERROR,FONAG
64426,ERROR,FONAG
64427,SOME DATA MISSING,EPMAPS
64428,OK,EPMAPS
64429,OK,EPMAPS
64430,OK,EPMAPS
64432,OK,EPMAPS
64433,OK,EPMAPS
64434,ERROR,EPMAPS
64435,NO DATA,EPMAPS
64436,OK,EPMAPS
64437,OK,EPMAPS
64438,OK,EPMAPS
64439,OK,EPMAPS
63795,ERROR,FONAG
63802,SOME DATA MISSING,FONAG
63803,OK,FONAG
63804,ERROR,FONAG
63805,NO DATA,FONAG
63806,OK,FONAG
63807,SOME DATA MISSING,FONAG
63808,OK,FONAG
63937,OK,FONAG
63810,NO DATA,FONAG
63938,OK,FONAG
63812,NO DATA,FONAG
63939,SOME DATA MISSING,FONAG
63940,SOME DATA MISSING,FONAG
63941,OK,FONAG
63942,OK,FONAG
63943,OK,FONAG
63944,OK,FONAG
63945,OK,FONAG
63946,OK,FONAG
63947,OK,FONAG
63948,SOME DATA MISSING,FONAG
63949,OK,FONAG
63950,NO DATA,FONAG
63951,OK,FONAG
63953,ERROR,FONAG
63952,OK,FONAG
63821,NO DATA,FONAG
63961,OK,EPMAPS
63987,ERROR,FONAG
63988,ERROR,FONAG
63989,ERROR,FONAG
